"","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Season","Match_Date","Home_Win","Away_Win","Draw"
"325","Everton","Oldham",2,1,"H","1993-94",1994-03-05,1,0,0
"326","Ipswich","Arsenal",1,5,"A","1993-94",1994-03-05,0,1,0
"327","Leeds","Southampton",0,0,"D","1993-94",1994-03-05,0,0,1
"328","Man United","Chelsea",0,1,"A","1993-94",1994-03-05,0,1,0
"329","QPR","Man City",1,1,"D","1993-94",1994-03-05,0,0,1
"330","Sheffield Weds","Newcastle",0,1,"A","1993-94",1994-03-05,0,1,0
"331","Swindon","West Ham",1,1,"D","1993-94",1994-03-05,0,0,1
"332","Tottenham","Sheffield United",2,2,"D","1993-94",1994-03-05,0,0,1
"333","Wimbledon","Norwich",3,1,"H","1993-94",1994-03-05,1,0,0
"334","Coventry","Aston Villa",0,1,"A","1993-94",1994-03-06,0,1,0
"335","Aston Villa","Ipswich",0,1,"A","1993-94",1994-03-12,0,1,0
"336","Man City","Wimbledon",0,1,"A","1993-94",1994-03-12,0,1,0
"337","Newcastle","Swindon",7,1,"H","1993-94",1994-03-12,1,0,0
"338","Norwich","QPR",3,4,"A","1993-94",1994-03-12,0,1,0
"339","Southampton","Sheffield Weds",1,1,"D","1993-94",1994-03-12,0,0,1
"340","Liverpool","Everton",2,1,"H","1993-94",1994-03-13,1,0,0
"341","Sheffield United","Leeds",2,2,"D","1993-94",1994-03-13,0,0,1
"342","Chelsea","Wimbledon",2,0,"H","1993-94",1994-03-16,1,0,0
"343","Leeds","Aston Villa",2,0,"H","1993-94",1994-03-16,1,0,0
"344","Man United","Sheffield Weds",5,0,"H","1993-94",1994-03-16,1,0,0
"345","Sheffield United","QPR",1,1,"D","1993-94",1994-03-16,0,0,1
"346","Aston Villa","Oldham",1,2,"A","1993-94",1994-03-19,0,1,0
"347","Leeds","Coventry",1,0,"H","1993-94",1994-03-19,1,0,0
"348","Liverpool","Chelsea",2,1,"H","1993-94",1994-03-19,1,0,0
"349","Man City","Sheffield United",0,0,"D","1993-94",1994-03-19,0,0,1
"350","QPR","Wimbledon",1,0,"H","1993-94",1994-03-19,1,0,0
